Município;UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
Epitaciolândia;AC;2019;10;29472.96;9759.15;0;FPM;FUNDEB;
Epitaciolândia;AC;2019;10;75.02;30.12;0;IPI-EXP;FUNDEB;
Epitaciolândia;AC;2019;10;0;0;0;COUN;FUNDEB;
Epitaciolândia;AC;2019;10;0;0;0;LC 87;FUNDEB;
Epitaciolândia;AC;2019;10;559.76;16.12;0;ITR;FUNDEB;
Epitaciolândia;AC;2019;10;5170.29;2182.12;0;IPVA;FUNDEB;
Epitaciolândia;AC;2019;10;410.07;80.17;0;ITCMD;FUNDEB;
Epitaciolândia;AC;2019;10;77165.87;90539.62;0;ICMS;FUNDEB;
Epitaciolândia;AC;2019;10;70753.3;21793.83;0;DEDU;FUNDEB;
Epitaciolândia;AC;2019;10;180066.8;59624.12;0;FPE;FUNDEB;
Feijó;AC;2019;10;19209.88;0;0;CIDE/Combustível;CIDE-Combustíveis;
Feijó;AC;2019;10;54784.48;18140.36;0;FPM;FUNDEB;
Feijó;AC;2019;10;139.45;55.99;0;IPI-EXP;FUNDEB;
Feijó;AC;2019;10;0;0;0;COUN;FUNDEB;
Feijó;AC;2019;10;0;0;0;LC 87;FUNDEB;
Feijó;AC;2019;10;1040.49;29.97;0;ITR;FUNDEB;
Feijó;AC;2019;10;9610.57;4056.11;0;IPVA;FUNDEB;
Feijó;AC;2019;10;762.25;149.02;0;ITCMD;FUNDEB;
Feijó;AC;2019;10;143436.29;168295.49;0;ICMS;FUNDEB;
Feijó;AC;2019;10;88471.35;29065.91;0;DEDU;FUNDEB;
Feijó;AC;2019;10;334709.07;110829.6;0;FPE;FUNDEB;
Jordão;AC;2019;10;6110.85;0;0;CIDE/Combustível;CIDE-Combustíveis;
Jordão;AC;2019;10;32697.15;10826.75;0;FPM;FUNDEB;
Jordão;AC;2019;10;83.23;33.42;0;IPI-EXP;FUNDEB;
Jordão;AC;2019;10;0;0;0;COUN;FUNDEB;
Jordão;AC;2019;10;0;0;0;LC 87;FUNDEB;
Jordão;AC;2019;10;621;17.89;0;ITR;FUNDEB;
Jordão;AC;2019;10;5735.91;2420.82;0;IPVA;FUNDEB;
Jordão;AC;2019;10;454.93;88.94;0;ITCMD;FUNDEB;
Jordão;AC;2019;10;85607.42;100444.21;0;ICMS;FUNDEB;
Jordão;AC;2019;10;32866.51;10922.16;0;DEDU;FUNDEB;
Jordão;AC;2019;10;199765.22;66146.7;0;FPE;FUNDEB;
Mâncio Lima;AC;2019;10;12745.1;0;0;CIDE/Combustível;CIDE-Combustíveis;
Mâncio Lima;AC;2019;10;43099.37;14271.15;0;FPM;FUNDEB;
Mâncio Lima;AC;2019;10;109.71;44.05;0;IPI-EXP;FUNDEB;
Mâncio Lima;AC;2019;10;0;0;0;COUN;FUNDEB;
Mâncio Lima;AC;2019;10;0;0;0;LC 87;FUNDEB;
Mâncio Lima;AC;2019;10;818.56;23.58;0;ITR;FUNDEB;
Mâncio Lima;AC;2019;10;7560.7;3190.98;0;IPVA;FUNDEB;
Mâncio Lima;AC;2019;10;599.66;117.24;0;ITCMD;FUNDEB;
Mâncio Lima;AC;2019;10;112842.43;132399.36;0;ICMS;FUNDEB;
Mâncio Lima;AC;2019;10;65797.23;21770.48;0;DEDU;FUNDEB;
Mâncio Lima;AC;2019;10;263318.21;87190.5;0;FPE;FUNDEB;
Manoel Urbano;AC;2019;10;6376.38;0;0;CIDE/Combustível;CIDE-Combustíveis;
Manoel Urbano;AC;2019;10;23678.61;7840.51;0;FPM;FUNDEB;
Manoel Urbano;AC;2019;10;60.27;24.2;0;IPI-EXP;FUNDEB;
Manoel Urbano;AC;2019;10;0;0;0;COUN;FUNDEB;
Manoel Urbano;AC;2019;10;0;0;0;LC 87;FUNDEB;
Manoel Urbano;AC;2019;10;449.71;12.95;0;ITR;FUNDEB;
Manoel Urbano;AC;2019;10;4153.81;1753.12;0;IPVA;FUNDEB;
Manoel Urbano;AC;2019;10;329.45;64.41;0;ITCMD;FUNDEB;
Manoel Urbano;AC;2019;10;61995.14;72739.64;0;ICMS;FUNDEB;
Manoel Urbano;AC;2019;10;32944.7;10897.06;0;DEDU;FUNDEB;
Manoel Urbano;AC;2019;10;144665.88;47902.08;0;FPE;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;12698.17;0;0;CIDE/Combustível;CIDE-Combustíveis;
Marechal Thaumaturgo;AC;2019;10;71223.17;23583.56;0;FPM;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;181.3;72.8;0;IPI-EXP;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;0;0;0;COUN;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;0;0;0;LC 87;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;1352.7;38.96;0;ITR;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;12494.3;5273.2;0;IPVA;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;990.97;193.74;0;ITCMD;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;186475.92;218794.4;0;ICMS;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;65729.03;21764.33;0;DEDU;FUNDEB;
Marechal Thaumaturgo;AC;2019;10;435142.2;144085.24;0;FPE;FUNDEB;
Plácido de Castro;AC;2019;10;12954.24;0;0;CIDE/Combustível;CIDE-Combustíveis;
Plácido de Castro;AC;2019;10;27819.23;9211.56;0;FPM;FUNDEB;
Plácido de Castro;AC;2019;10;70.81;28.43;0;IPI-EXP;FUNDEB;
Plácido de Castro;AC;2019;10;0;0;0;COUN;FUNDEB;
Plácido de Castro;AC;2019;10;0;0;0;LC 87;FUNDEB;
Plácido de Castro;AC;2019;10;528.35;15.22;0;ITR;FUNDEB;
