"ANO / MÊS","UF","NOME MUNICÍPIO","LINGUAGEM CIDADÃ","VALOR TRANSFERIDO"
2018-02-01,"SE","BREJO GRANDE","FPM - CF art. 159",704135.26
2018-02-01,"SE","CAMPO DO BRITO","FPM - CF art. 159",1408270.48
2018-02-01,"SE","CANHOBA","FPM - CF art. 159",704135.26
2018-02-01,"SE","CANINDE DE SAO FRANCISCO","FPM - CF art. 159",1642982.23
2018-02-01,"SE","CAPELA","FPM - CF art. 159",1877693.99
2018-02-01,"SE","CARIRA","FPM - CF art. 159",1408270.48
2018-02-01,"SE","CARMOPOLIS","FPM - CF art. 159",1173558.74
2018-02-01,"SE","CEDRO DE SAO JOAO","FPM - CF art. 159",704135.26
2018-02-01,"SE","CRISTINAPOLIS","FPM - CF art. 159",1408270.48
2018-02-01,"SE","CUMBE","FPM - CF art. 159",704135.26
2018-02-01,"SE","DIVINA PASTORA","FPM - CF art. 159",704135.26
2018-02-01,"SE","ESTANCIA","FPM - CF art. 159",2816540.95
2018-02-01,"SE","FEIRA NOVA","FPM - CF art. 159",704135.26
2018-02-01,"SE","FREI PAULO","FPM - CF art. 159",1173558.74
2018-02-01,"SE","GARARU","FPM - CF art. 159",938846.99
2018-02-01,"SE","GENERAL MAYNARD","FPM - CF art. 159",704135.26
2018-02-01,"SE","GRACHO CARDOSO","FPM - CF art. 159",704135.26
2018-02-01,"SE","ILHA DAS FLORES","FPM - CF art. 159",704135.26
2018-02-01,"SE","INDIAROBA","FPM - CF art. 159",1408270.48
2018-02-01,"SE","ITABAIANA","FPM - CF art. 159",3520676.2
2018-02-01,"SE","ITABAIANINHA","FPM - CF art. 159",2112405.73
2018-02-01,"SE","ITABI","FPM - CF art. 159",704135.26
2018-02-01,"SE","ITAPORANGA D'AJUDA","FPM - CF art. 159",1877693.99
2018-02-01,"SE","JAPARATUBA","FPM - CF art. 159",1408270.48
2018-02-01,"SE","JAPOATA","FPM - CF art. 159",938846.99
2018-02-01,"SE","LAGARTO","FPM - CF art. 159",3755387.92
2018-02-01,"SE","LARANJEIRAS","FPM - CF art. 159",1642982.23
2018-02-01,"SE","MACAMBIRA","FPM - CF art. 159",704135.26
2018-02-01,"SE","MALHADA DOS BOIS","FPM - CF art. 159",704135.26
2018-02-01,"SE","MALHADOR","FPM - CF art. 159",938846.99
2018-02-01,"SE","MARUIM","FPM - CF art. 159",1408270.48
2018-02-01,"SE","MOITA BONITA","FPM - CF art. 159",938846.99
2018-02-01,"SE","MONTE ALEGRE DE SERGIPE","FPM - CF art. 159",1173558.74
2018-02-01,"SE","MURIBECA","FPM - CF art. 159",704135.26
2018-02-01,"SE","NEOPOLIS","FPM - CF art. 159",1408270.48
2018-02-01,"SE","NOSSA SENHORA APARECIDA","FPM - CF art. 159",704135.26
2018-02-01,"SE","NOSSA SENHORA DA GLORIA","FPM - CF art. 159",1877693.99
2018-02-01,"SE","NOSSA SENHORA DAS DORES","FPM - CF art. 159",1642982.23
2018-02-01,"SE","NOSSA SENHORA DE LOURDES","FPM - CF art. 159",704135.26
2018-02-01,"SE","NOSSA SENHORA DO SOCORRO","FPM - CF art. 159",7569264.18
2018-02-01,"SE","PACATUBA","FPM - CF art. 159",1173558.74
2018-02-01,"SE","PEDRA MOLE","FPM - CF art. 159",704135.26
2018-02-01,"SE","PEDRINHAS","FPM - CF art. 159",704135.26
2018-02-01,"SE","PINHAO","FPM - CF art. 159",704135.26
2018-02-01,"SE","PIRAMBU","FPM - CF art. 159",704135.26
2018-02-01,"SE","POCO REDONDO","FPM - CF art. 159",1877693.99
2018-02-01,"SE","POCO VERDE","FPM - CF art. 159",1408270.48
2018-02-01,"SE","PORTO DA FOLHA","FPM - CF art. 159",1642982.23
2018-02-01,"SE","PROPRIA","FPM - CF art. 159",1642982.23
2018-02-01,"SE","RIACHAO DO DANTAS","FPM - CF art. 159",1408270.48
2018-02-01,"SE","RIACHUELO","FPM - CF art. 159",938846.99
2018-02-01,"SE","RIBEIROPOLIS","FPM - CF art. 159",1408270.48
2018-02-01,"SE","ROSARIO DO CATETE","FPM - CF art. 159",938846.99
2018-02-01,"SE","SALGADO","FPM - CF art. 159",1408270.48
2018-02-01,"SE","SANTA LUZIA DO ITANHY","FPM - CF art. 159",1173558.74
2018-02-01,"SE","SANTA ROSA DE LIMA","FPM - CF art. 159",704135.26
2018-02-01,"SE","SANTANA DO SAO FRANCISCO","FPM - CF art. 159",704135.26
2018-02-01,"SE","SANTO AMARO DAS BROTAS","FPM - CF art. 159",938846.99
2018-02-01,"SE","SAO CRISTOVAO","FPM - CF art. 159",3285964.44
2018-02-01,"SE","SAO DOMINGOS","FPM - CF art. 159",938846.99
2018-02-01,"SE","SAO FRANCISCO","FPM - CF art. 159",704135.26
2018-02-01,"SE","SAO MIGUEL DO ALEIXO","FPM - CF art. 159",704135.26
2018-02-01,"SE","SIMAO DIAS","FPM - CF art. 159",2112405.73
2018-02-01,"SE","SIRIRI","FPM - CF art. 159",704135.26
2018-02-01,"SE","TELHA","FPM - CF art. 159",704135.26
2018-02-01,"SE","TOBIAS BARRETO","FPM - CF art. 159",2581829.2
2018-02-01,"SE","TOMAR DO GERU","FPM - CF art. 159",938846.99
2018-02-01,"SE","UMBAUBA","FPM - CF art. 159",1642982.02
2018-03-01,"SE","AMPARO DE SAO FRANCISCO","FPM - CF art. 159",474158.31
2018-03-01,"SE","AQUIDABA","FPM - CF art. 159",948316.6
2018-03-01,"SE","ARACAJU","FPM - CF art. 159",17651144.43
2018-03-01,"SE","ARAUA","FPM - CF art. 159",632211.09
2018-03-01,"SE","AREIA BRANCA","FPM - CF art. 159",948316.6
2018-03-01,"SE","BARRA DOS COQUEIROS","FPM - CF art. 159",1106369.36
2018-03-01,"SE","BOQUIM","FPM - CF art. 159",1106369.36
2018-03-01,"SE","BREJO GRANDE","FPM - CF art. 159",474158.31
2018-03-01,"SE","CAMPO DO BRITO","FPM - CF art. 159",948316.6
2018-03-01,"SE","CANHOBA","FPM - CF art. 159",474158.31
2018-03-01,"SE","CANINDE DE SAO FRANCISCO","FPM - CF art. 159",1106369.36
2018-03-01,"SE","CAPELA","FPM - CF art. 159",1264422.13
2018-03-01,"SE","CARIRA","FPM - CF art. 159",948316.6
2018-03-01,"SE","CARMOPOLIS","FPM - CF art. 159",790263.84
2018-03-01,"SE","CEDRO DE SAO JOAO","FPM - CF art. 159",474158.31
2018-03-01,"SE","CRISTINAPOLIS","FPM - CF art. 159",948316.6
2018-03-01,"SE","CUMBE","FPM - CF art. 159",474158.31
2018-03-01,"SE","DIVINA PASTORA","FPM - CF art. 159",474158.31
2018-03-01,"SE","ESTANCIA","FPM - CF art. 159",1896633.19
2018-03-01,"SE","FEIRA NOVA","FPM - CF art. 159",474158.31
2018-03-01,"SE","FREI PAULO","FPM - CF art. 159",790263.84
2018-03-01,"SE","GARARU","FPM - CF art. 159",632211.09
2018-03-01,"SE","GENERAL MAYNARD","FPM - CF art. 159",474158.31
2018-03-01,"SE","GRACHO CARDOSO","FPM - CF art. 159",474158.31
2018-03-01,"SE","ILHA DAS FLORES","FPM - CF art. 159",474158.31
2018-03-01,"SE","INDIAROBA","FPM - CF art. 159",948316.6
2018-03-01,"SE","ITABAIANA","FPM - CF art. 159",2370791.48
2018-03-01,"SE","ITABAIANINHA","FPM - CF art. 159",1422474.92
2018-03-01,"SE","ITABI","FPM - CF art. 159",474158.31
2018-03-01,"SE","ITAPORANGA D'AJUDA","FPM - CF art. 159",1264422.13
2018-03-01,"SE","JAPARATUBA","FPM - CF art. 159",948316.6
2018-03-01,"SE","JAPOATA","FPM - CF art. 159",632211.09
2018-03-01,"SE","LAGARTO","FPM - CF art. 159",2528844.24
2018-03-01,"SE","LARANJEIRAS","FPM - CF art. 159",1106369.36
2018-03-01,"SE","MACAMBIRA","FPM - CF art. 159",474158.31
2018-03-01,"SE","MALHADA DOS BOIS","FPM - CF art. 159",474158.31
2018-03-01,"SE","MALHADOR","FPM - CF art. 159",632211.09
2018-03-01,"SE","MARUIM","FPM - CF art. 159",948316.6
2018-03-01,"SE","MOITA BONITA","FPM - CF art. 159",632211.09
2018-03-01,"SE","MONTE ALEGRE DE SERGIPE","FPM - CF art. 159",790263.84
2018-03-01,"SE","MURIBECA","FPM - CF art. 159",474158.31
2018-03-01,"SE","NEOPOLIS","FPM - CF art. 159",948316.6
2018-03-01,"SE","NOSSA SENHORA APARECIDA","FPM - CF art. 159",474158.31
2018-03-01,"SE","NOSSA SENHORA DA GLORIA","FPM - CF art. 159",1264422.13
2018-03-01,"SE","NOSSA SENHORA DAS DORES","FPM - CF art. 159",1106369.36
2018-03-01,"SE","NOSSA SENHORA DE LOURDES","FPM - CF art. 159",474158.31
2018-03-01,"SE","NOSSA SENHORA DO SOCORRO","FPM - CF art. 159",5097074.01
2018-03-01,"SE","PACATUBA","FPM - CF art. 159",790263.84
2018-03-01,"SE","PEDRA MOLE","FPM - CF art. 159",474158.31
2018-03-01,"SE","PEDRINHAS","FPM - CF art. 159",474158.31
2018-03-01,"SE","PINHAO","FPM - CF art. 159",474158.31
2018-03-01,"SE","PIRAMBU","FPM - CF art. 159",474158.31
2018-03-01,"SE","POCO REDONDO","FPM - CF art. 159",1264422.13
2018-03-01,"SE","POCO VERDE","FPM - CF art. 159",948316.6
2018-03-01,"SE","PORTO DA FOLHA","FPM - CF art. 159",1106369.36
2018-03-01,"SE","PROPRIA","FPM - CF art. 159",1106369.36
2018-03-01,"SE","RIACHAO DO DANTAS","FPM - CF art. 159",948316.6
2018-03-01,"SE","RIACHUELO","FPM - CF art. 159",632211.09
2018-03-01,"SE","RIBEIROPOLIS","FPM - CF art. 159",948316.6
2018-03-01,"SE","ROSARIO DO CATETE","FPM - CF art. 159",632211.09
2018-03-01,"SE","SALGADO","FPM - CF art. 159",948316.6
2018-03-01,"SE","SANTA LUZIA DO ITANHY","FPM - CF art. 159",790263.84
2018-03-01,"SE","SANTA ROSA DE LIMA","FPM - CF art. 159",474158.31
2018-03-01,"SE","SANTANA DO SAO FRANCISCO","FPM - CF art. 159",474158.31
2018-03-01,"SE","SANTO AMARO DAS BROTAS","FPM - CF art. 159",632211.09
2018-03-01,"SE","SAO CRISTOVAO","FPM - CF art. 159",2212738.73
2018-03-01,"SE","SAO DOMINGOS","FPM - CF art. 159",632211.09
2018-03-01,"SE","SAO FRANCISCO","FPM - CF art. 159",474158.31
2018-03-01,"SE","SAO MIGUEL DO ALEIXO","FPM - CF art. 159",474158.31
2018-03-01,"SE","SIMAO DIAS","FPM - CF art. 159",1422474.92
2018-03-01,"SE","SIRIRI","FPM - CF art. 159",474158.31
2018-03-01,"SE","TELHA","FPM - CF art. 159",474158.31
2018-03-01,"SE","TOBIAS BARRETO","FPM - CF art. 159",1738580.44
2018-03-01,"SE","TOMAR DO GERU","FPM - CF art. 159",632211.09
2018-03-01,"SE","UMBAUBA","FPM - CF art. 159",1106369.29
2018-04-01,"SE","AMPARO DE SAO FRANCISCO","FPM - CF art. 159",497139.55
2018-04-01,"SE","AQUIDABA","FPM - CF art. 159",994279.07
2018-04-01,"SE","ARACAJU","FPM - CF art. 159",18506649.91
2018-04-01,"SE","ARAUA","FPM - CF art. 159",662852.7
2018-04-01,"SE","AREIA BRANCA","FPM - CF art. 159",994279.07
2018-04-01,"SE","BARRA DOS COQUEIROS","FPM - CF art. 159",1159992.24
2018-04-01,"SE","BOQUIM","FPM - CF art. 159",1159992.24
2018-04-01,"SE","BREJO GRANDE","FPM - CF art. 159",497139.55
2018-04-01,"SE","CAMPO DO BRITO","FPM - CF art. 159",994279.07
2018-04-01,"SE","CANHOBA","FPM - CF art. 159",497139.55
2018-04-01,"SE","CANINDE DE SAO FRANCISCO","FPM - CF art. 159",1159992.24
2018-04-01,"SE","CAPELA","FPM - CF art. 159",1325705.4
2018-04-01,"SE","CARIRA","FPM - CF art. 159",994279.07
2018-04-01,"SE","CARMOPOLIS","FPM - CF art. 159",828565.89
2018-04-01,"SE","CEDRO DE SAO JOAO","FPM - CF art. 159",497139.55
2018-04-01,"SE","CRISTINAPOLIS","FPM - CF art. 159",994279.07
2018-04-01,"SE","CUMBE","FPM - CF art. 159",497139.55
2018-04-01,"SE","DIVINA PASTORA","FPM - CF art. 159",497139.55
2018-04-01,"SE","ESTANCIA","FPM - CF art. 159",1988558.11
2018-04-01,"SE","FEIRA NOVA","FPM - CF art. 159",497139.55
2018-04-01,"SE","FREI PAULO","FPM - CF art. 159",828565.89
2018-04-01,"SE","GARARU","FPM - CF art. 159",662852.7
2018-04-01,"SE","GENERAL MAYNARD","FPM - CF art. 159",497139.55
2018-04-01,"SE","GRACHO CARDOSO","FPM - CF art. 159",497139.55
2018-04-01,"SE","ILHA DAS FLORES","FPM - CF art. 159",497139.55
2018-04-01,"SE","INDIAROBA","FPM - CF art. 159",994279.07
2018-04-01,"SE","ITABAIANA","FPM - CF art. 159",2485697.63
2018-04-01,"SE","ITABAIANINHA","FPM - CF art. 159",1491418.58
2018-04-01,"SE","ITABI","FPM - CF art. 159",497139.55
2018-04-01,"SE","ITAPORANGA D'AJUDA","FPM - CF art. 159",1325705.4
2018-04-01,"SE","JAPARATUBA","FPM - CF art. 159",994279.07
2018-04-01,"SE","JAPOATA","FPM - CF art. 159",662852.7
2018-04-01,"SE","LAGARTO","FPM - CF art. 159",2651410.8
2018-04-01,"SE","LARANJEIRAS","FPM - CF art. 159",1159992.24
2018-04-01,"SE","MACAMBIRA","FPM - CF art. 159",497139.55
2018-04-01,"SE","MALHADA DOS BOIS","FPM - CF art. 159",497139.55
2018-04-01,"SE","MALHADOR","FPM - CF art. 159",662852.7
2018-04-01,"SE","MARUIM","FPM - CF art. 159",994279.07
2018-04-01,"SE","MOITA BONITA","FPM - CF art. 159",662852.7
2018-04-01,"SE","MONTE ALEGRE DE SERGIPE","FPM - CF art. 159",828565.89
2018-04-01,"SE","MURIBECA","FPM - CF art. 159",497139.55
2018-04-01,"SE","NEOPOLIS","FPM - CF art. 159",994279.07
2018-04-01,"SE","NOSSA SENHORA APARECIDA","FPM - CF art. 159",497139.55
2018-04-01,"SE","NOSSA SENHORA DA GLORIA","FPM - CF art. 159",1325705.4
2018-04-01,"SE","NOSSA SENHORA DAS DORES","FPM - CF art. 159",1159992.24
2018-04-01,"SE","NOSSA SENHORA DE LOURDES","FPM - CF art. 159",497139.55
2018-04-01,"SE","NOSSA SENHORA DO SOCORRO","FPM - CF art. 159",5344116.01
2018-04-01,"SE","PACATUBA","FPM - CF art. 159",828565.89
2018-04-01,"SE","PEDRA MOLE","FPM - CF art. 159",497139.55
2018-04-01,"SE","PEDRINHAS","FPM - CF art. 159",497139.55
2018-04-01,"SE","PINHAO","FPM - CF art. 159",497139.55
2018-04-01,"SE","PIRAMBU","FPM - CF art. 159",497139.55
2018-04-01,"SE","POCO REDONDO","FPM - CF art. 159",1325705.4
2018-04-01,"SE","POCO VERDE","FPM - CF art. 159",994279.07
2018-04-01,"SE","PORTO DA FOLHA","FPM - CF art. 159",1159992.24
2018-04-01,"SE","PROPRIA","FPM - CF art. 159",1159992.24
2018-04-01,"SE","RIACHAO DO DANTAS","FPM - CF art. 159",994279.07
2018-04-01,"SE","RIACHUELO","FPM - CF art. 159",662852.7
2018-04-01,"SE","RIBEIROPOLIS","FPM - CF art. 159",994279.07
2018-04-01,"SE","ROSARIO DO CATETE","FPM - CF art. 159",662852.7
2018-04-01,"SE","SALGADO","FPM - CF art. 159",994279.07
2018-04-01,"SE","SANTA LUZIA DO ITANHY","FPM - CF art. 159",828565.89
2018-04-01,"SE","SANTA ROSA DE LIMA","FPM - CF art. 159",497139.55
2018-04-01,"SE","SANTANA DO SAO FRANCISCO","FPM - CF art. 159",497139.55
2018-04-01,"SE","SANTO AMARO DAS BROTAS","FPM - CF art. 159",662852.7
2018-04-01,"SE","SAO CRISTOVAO","FPM - CF art. 159",2319984.44
2018-04-01,"SE","SAO DOMINGOS","FPM - CF art. 159",662852.7
2018-04-01,"SE","SAO FRANCISCO","FPM - CF art. 159",497139.55
2018-04-01,"SE","SAO MIGUEL DO ALEIXO","FPM - CF art. 159",497139.55
2018-04-01,"SE","SIMAO DIAS","FPM - CF art. 159",1491418.58
2018-04-01,"SE","SIRIRI","FPM - CF art. 159",497139.55
2018-04-01,"SE","TELHA","FPM - CF art. 159",497139.55
2018-04-01,"SE","TOBIAS BARRETO","FPM - CF art. 159",1822844.95
2018-04-01,"SE","TOMAR DO GERU","FPM - CF art. 159",662852.7
2018-04-01,"SE","UMBAUBA","FPM - CF art. 159",1159992.21
2018-05-01,"SE","AMPARO DE SAO FRANCISCO","FPM - CF art. 159",610110.99
2018-05-01,"SE","AQUIDABA","FPM - CF art. 159",1220221.97
2018-05-01,"SE","ARACAJU","FPM - CF art. 159",22712155.58
2018-05-01,"SE","ARAUA","FPM - CF art. 159",813481.33
2018-05-01,"SE","AREIA BRANCA","FPM - CF art. 159",1220221.97
2018-05-01,"SE","BARRA DOS COQUEIROS","FPM - CF art. 159",1423592.29
2018-05-01,"SE","BOQUIM","FPM - CF art. 159",1423592.29
2018-05-01,"SE","BREJO GRANDE","FPM - CF art. 159",610110.99
2018-05-01,"SE","CAMPO DO BRITO","FPM - CF art. 159",1220221.97
2018-05-01,"SE","CANHOBA","FPM - CF art. 159",610110.99
2018-05-01,"SE","CANINDE DE SAO FRANCISCO","FPM - CF art. 159",1423592.29
2018-05-01,"SE","CAPELA","FPM - CF art. 159",1626962.61
2018-05-01,"SE","CARIRA","FPM - CF art. 159",1220221.97
2018-05-01,"SE","CARMOPOLIS","FPM - CF art. 159",1016851.65
2018-05-01,"SE","CEDRO DE SAO JOAO","FPM - CF art. 159",610110.99
2018-05-01,"SE","CRISTINAPOLIS","FPM - CF art. 159",1220221.97
2018-05-01,"SE","CUMBE","FPM - CF art. 159",610110.99
2018-05-01,"SE","DIVINA PASTORA","FPM - CF art. 159",610110.99
2018-05-01,"SE","ESTANCIA","FPM - CF art. 159",2440443.91
2018-05-01,"SE","FEIRA NOVA","FPM - CF art. 159",610110.99
2018-05-01,"SE","FREI PAULO","FPM - CF art. 159",1016851.65
2018-05-01,"SE","GARARU","FPM - CF art. 159",813481.33
2018-05-01,"SE","GENERAL MAYNARD","FPM - CF art. 159",610110.99
2018-05-01,"SE","GRACHO CARDOSO","FPM - CF art. 159",610110.99
2018-05-01,"SE","ILHA DAS FLORES","FPM - CF art. 159",610110.99
2018-05-01,"SE","INDIAROBA","FPM - CF art. 159",1220221.97
2018-05-01,"SE","ITABAIANA","FPM - CF art. 159",3050554.87
2018-05-01,"SE","ITABAIANINHA","FPM - CF art. 159",1830332.95
2018-05-01,"SE","ITABI","FPM - CF art. 159",610110.99
2018-05-01,"SE","ITAPORANGA D'AJUDA","FPM - CF art. 159",1626962.61
2018-05-01,"SE","JAPARATUBA","FPM - CF art. 159",1220221.97
2018-05-01,"SE","JAPOATA","FPM - CF art. 159",813481.33
2018-05-01,"SE","LAGARTO","FPM - CF art. 159",3253925.19
2018-05-01,"SE","LARANJEIRAS","FPM - CF art. 159",1423592.29
2018-05-01,"SE","MACAMBIRA","FPM - CF art. 159",610110.99
2018-05-01,"SE","MALHADA DOS BOIS","FPM - CF art. 159",610110.99
2018-05-01,"SE","MALHADOR","FPM - CF art. 159",813481.33
