"ANO / MÊS","UF","NOME MUNICÍPIO","LINGUAGEM CIDADÃ","VALOR TRANSFERIDO"
2018-05-01,"SE","MARUIM","FPM - CF art. 159",1220221.97
2018-05-01,"SE","MOITA BONITA","FPM - CF art. 159",813481.33
2018-05-01,"SE","MONTE ALEGRE DE SERGIPE","FPM - CF art. 159",1016851.65
2018-05-01,"SE","MURIBECA","FPM - CF art. 159",610110.99
2018-05-01,"SE","NEOPOLIS","FPM - CF art. 159",1220221.97
2018-05-01,"SE","NOSSA SENHORA APARECIDA","FPM - CF art. 159",610110.99
2018-05-01,"SE","NOSSA SENHORA DA GLORIA","FPM - CF art. 159",1626962.61
2018-05-01,"SE","NOSSA SENHORA DAS DORES","FPM - CF art. 159",1423592.29
2018-05-01,"SE","NOSSA SENHORA DE LOURDES","FPM - CF art. 159",610110.99
2018-05-01,"SE","NOSSA SENHORA DO SOCORRO","FPM - CF art. 159",6558528.68
2018-05-01,"SE","PACATUBA","FPM - CF art. 159",1016851.65
2018-05-01,"SE","PEDRA MOLE","FPM - CF art. 159",610110.99
2018-05-01,"SE","PEDRINHAS","FPM - CF art. 159",610110.99
2018-05-01,"SE","PINHAO","FPM - CF art. 159",610110.99
2018-05-01,"SE","PIRAMBU","FPM - CF art. 159",610110.99
2018-05-01,"SE","POCO REDONDO","FPM - CF art. 159",1626962.61
2018-05-01,"SE","POCO VERDE","FPM - CF art. 159",1220221.97
2018-05-01,"SE","PORTO DA FOLHA","FPM - CF art. 159",1423592.29
2018-05-01,"SE","PROPRIA","FPM - CF art. 159",1423592.29
2018-05-01,"SE","RIACHAO DO DANTAS","FPM - CF art. 159",1220221.97
2018-05-01,"SE","RIACHUELO","FPM - CF art. 159",813481.33
2018-05-01,"SE","RIBEIROPOLIS","FPM - CF art. 159",1220221.97
2018-05-01,"SE","ROSARIO DO CATETE","FPM - CF art. 159",813481.33
2018-05-01,"SE","SALGADO","FPM - CF art. 159",1220221.97
2018-05-01,"SE","SANTA LUZIA DO ITANHY","FPM - CF art. 159",1016851.65
