"Mês","Município","Item transferência","Transferência","1º Decêndio","2º Decêndio","3º Decêndio","Valor total"
2023-07-01,"Umbaúba","FPM","FPM",2098983.66,252107.31,689434,3040524.97
2023-08-01,"Amparo do São Francisco","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Aquidabã","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Aracaju","FPM","FPM",18260321.9,4085333.22,9455683.3,31801338.42
2023-08-01,"Arauá","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"Areia Branca","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Barra dos Coqueiros","FPM","FPM",1388997.55,317019.18,733754.81,2439771.54
2023-08-01,"Boquim","FPM","FPM",1080331.42,246570.47,570698.2,1897600.09
2023-08-01,"Brejo Grande","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Campo do Brito","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Canhoba","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Canindé de São Francisco","FPM","FPM",1234664.49,281794.83,652226.5,2168685.82
2023-08-01,"Capela","FPM","FPM",1234664.49,281794.83,652226.5,2168685.82
2023-08-01,"Carira","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Carmópolis","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Cedro de São João","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Cristinápolis","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Cumbe","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Divina Pastora","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Estância","FPM","FPM",1851996.72,422692.23,978339.75,3253028.7
2023-08-01,"Feira Nova","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Frei Paulo","FPM","FPM",771665.3,176121.77,407641.57,1355428.64
2023-08-01,"Gararu","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"General Maynard","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Graccho Cardoso","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Ilha das Flores","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Indiaroba","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Itabaiana","FPM","FPM",2469328.97,563589.65,1304453.01,4337371.63
2023-08-01,"Itabaianinha","FPM","FPM",1388997.55,317019.18,733754.81,2439771.54
2023-08-01,"Itabi","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Itaporanga D'Ajuda","FPM","FPM",1234664.49,281794.83,652226.5,2168685.82
2023-08-01,"Japaratuba","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Japoatã","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"Lagarto","FPM","FPM",2469328.97,563589.65,1304453.01,4337371.63
2023-08-01,"Laranjeiras","FPM","FPM",1080331.42,246570.47,570698.2,1897600.09
2023-08-01,"Macambira","FPM","FPM",462999.19,105673.07,244584.94,813257.2
