"Mês","Município","Item transferência","Transferência","1º Decêndio","2º Decêndio","3º Decêndio","Valor total"
2023-01-01,"Malhada dos Bois","ANP","Royalties",0,224.18,0,224.18
2023-01-01,"Malhada dos Bois","FEP","Royalties",0,17409.6,8539.48,25949.08
2023-01-01,"Malhada dos Bois","CFEM","Royalties",0,227.68,0,227.68
2023-01-01,"Malhada dos Bois","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,54.46,54.46
2023-01-01,"Malhada dos Bois","COUN VAAT","FUNDEB",0,0,93012.64,93012.64
2023-01-01,"Malhador","CIDE/Combustível","CIDE-Combustíveis",91.34,0,0,91.34
2023-01-01,"Malhador","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"Malhador","ITR","ITR",32.78,0,59.53,92.31
2023-01-01,"Malhador","FPM","FUNDEB",89979.81,34688.05,80302.54,204970.4
2023-01-01,"Malhador","IPI-EXP","FUNDEB",116.42,57.86,31.56,205.84
2023-01-01,"Malhador","ITR","FUNDEB",78.13,4.57,11.39,94.09
2023-01-01,"Malhador","IPVA","FUNDEB",4180.8,10525.95,2993.75,17700.5
2023-01-01,"Malhador","ITCMD","FUNDEB",575.91,614.35,222.65,1412.91
2023-01-01,"Malhador","ICMS","FUNDEB",46267.01,227681.07,39268.18,313216.26
2023-01-01,"Malhador","DEDU","FUNDEB",146059.77,56479.27,128289.25,330828.29
2023-01-01,"Malhador","FPE","FUNDEB",234507.3,89871.4,208264.28,532642.98
2023-01-01,"Malhador","ANP","Royalties",0,246.6,0,246.6
2023-01-01,"Malhador","FEP","Royalties",0,23212.8,11385.98,34598.78
2023-01-01,"Malhador","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,63.91,63.91
2023-01-01,"Malhador","COUN VAAT","FUNDEB",0,0,224909.39,224909.39
2023-01-01,"Maruim","CIDE/Combustível","CIDE-Combustíveis",132.12,0,0,132.12
2023-01-01,"Maruim","FPM","FPM",730257.97,282396.44,769646.26,1782300.67
2023-01-01,"Maruim","ITR","ITR",33.24,35.54,4.96,73.74
2023-01-01,"Maruim","FPM","FUNDEB",128741.93,49631.2,114895.83,293268.96
2023-01-01,"Maruim","IPI-EXP","FUNDEB",166.58,82.79,45.16,294.53
2023-01-01,"Maruim","ITR","FUNDEB",107.86,6.54,16.29,130.69
2023-01-01,"Maruim","IPVA","FUNDEB",5771.72,15060.38,4283.42,25115.52
2023-01-01,"Maruim","ITCMD","FUNDEB",795.07,879,318.57,1992.64
2023-01-01,"Maruim","ICMS","FUNDEB",63873.03,325763.08,56184.4,445820.51
2023-01-01,"Maruim","DEDU","FUNDEB",182572.79,70607.98,192412.8,445593.57
2023-01-01,"Maruim","FPE","FUNDEB",335529.96,128586.81,297981.79,762098.56
2023-01-01,"Maruim","ANP","Royalties",0,539040.19,186949.64,725989.83
2023-01-01,"Maruim","FEP","Royalties",0,29016,17078.97,46094.97
2023-01-01,"Maruim","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,650.83,650.83
2023-01-01,"Maruim","COUN VAAT","FUNDEB",0,0,38418.46,38418.46
2023-01-01,"Moita Bonita","CIDE/Combustível","CIDE-Combustíveis",87.53,0,0,87.53
2023-01-01,"Moita Bonita","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"Moita Bonita","ITR","ITR",46.13,15.52,16.14,77.79
2023-01-01,"Moita Bonita","FPM","FUNDEB",76036.23,29312.68,67858.59,173207.5
2023-01-01,"Moita Bonita","IPI-EXP","FUNDEB",98.38,48.9,26.67,173.95
2023-01-01,"Moita Bonita","ITR","FUNDEB",56.07,3.87,9.62,69.56
2023-01-01,"Moita Bonita","IPVA","FUNDEB",3000.14,8894.81,2529.83,14424.78
2023-01-01,"Moita Bonita","ITCMD","FUNDEB",413.27,519.15,188.15,1120.57
2023-01-01,"Moita Bonita","ICMS","FUNDEB",33201.15,192398.84,33183.05,258783.04
2023-01-01,"Moita Bonita","DEDU","FUNDEB",146063.11,56483.15,128278.4,330824.66
2023-01-01,"Moita Bonita","FPE","FUNDEB",198167.25,75944.62,175990.94,450102.81
2023-01-01,"Moita Bonita","ANP","Royalties",0,235.39,0,235.39
2023-01-01,"Moita Bonita","FEP","Royalties",0,23212.8,11385.98,34598.78
2023-01-01,"Moita Bonita","CFEM","Royalties",0,328.2,0,328.2
2023-01-01,"Moita Bonita","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,127.25,127.25
2023-01-01,"Moita Bonita","COUN VAAT","FUNDEB",0,0,101103.75,101103.75
2023-01-01,"Monte Alegre de Sergipe","CIDE/Combustível","CIDE-Combustíveis",112.6,0,0,112.6
2023-01-01,"Monte Alegre de Sergipe","FPM","FPM",730257.97,282396.44,641371.89,1654026.3
2023-01-01,"Monte Alegre de Sergipe","ITR","ITR",0,36.84,0,36.84
2023-01-01,"Monte Alegre de Sergipe","FPM","FUNDEB",93634.99,36097.16,83564.61,213296.76
2023-01-01,"Monte Alegre de Sergipe","IPI-EXP","FUNDEB",121.15,60.21,32.84,214.2
2023-01-01,"Monte Alegre de Sergipe","ITR","FUNDEB",67.9,4.76,11.85,84.51
2023-01-01,"Monte Alegre de Sergipe","IPVA","FUNDEB",3633.39,10953.53,3115.37,17702.29
2023-01-01,"Monte Alegre de Sergipe","ITCMD","FUNDEB",500.51,639.31,231.7,1371.52
2023-01-01,"Monte Alegre de Sergipe","ICMS","FUNDEB",40209.07,236929.97,40863.34,318002.38
2023-01-01,"Monte Alegre de Sergipe","DEDU","FUNDEB",182564.48,70608.31,160342.96,413515.75
2023-01-01,"Monte Alegre de Sergipe","FPE","FUNDEB",244033.49,93522.16,216724.42,554280.07
2023-01-01,"Monte Alegre de Sergipe","ANP","Royalties",0,246.6,0,246.6
2023-01-01,"Monte Alegre de Sergipe","FEP","Royalties",0,29016,14232.47,43248.47
2023-01-01,"Monte Alegre de Sergipe","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,223.32,223.32
